Mito,Nuc,Sex,Day,Day2,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Bei11,OreAR,F,Day,072924A,2,Bei11_OreAR_F_Day_072924A_3,68,118,2.5195,12.741,0.9901,0.0,0.0283
Bei11,OreAR,F,Day,072924A,2,Bei11_OreAR_F_Day_072924A_4,92,142,2.7092,-8.0401,0.992,0.0,0.0274
Bei11,OreAR,F,Day,072924A,2,Bei11_OreAR_F_Day_072924A_5,62,112,2.4786,10.0618,0.9853,0.0,0.0341
Bei11,OreAR,F,Day,072924A,2,Bei11_OreAR_F_Day_072924A_6,4,54,1.9613,45.0006,0.9875,0.0,0.0249
Bei11,OreAR,F,Day,072924A,2,Bei11_OreAR_F_Day_072924A_all,37,87,1.9395,36.8996,0.9972,0.0,0.0115
Bei11,OreAR,F,Day,072924A,3,Bei11_OreAR_F_Day_072924A_1,73,123,2.3117,-12.6982,0.991,0.0,0.0247
Bei11,OreAR,F,Day,072924A,3,Bei11_OreAR_F_Day_072924A_2,47,97,2.4017,6.4241,0.9765,0.0,0.042
Bei11,OreAR,F,Day,072924A,3,Bei11_OreAR_F_Day_072924A_3,4,54,0.9466,42.8219,0.9668,0.0,0.0199
Bei11,OreAR,F,Day,072924A,3,Bei11_OreAR_F_Day_072924A_4,44,94,2.2927,19.0395,0.9908,0.0,0.0249
Bei11,OreAR,F,Day,072924A,3,Bei11_OreAR_F_Day_072924A_5,37,87,2.6802,5.3245,0.9733,0.0,0.0501
Bei11,OreAR,F,Day,072924A,3,Bei11_OreAR_F_Day_072924A_6,86,136,2.6816,-5.1154,0.9824,0.0,0.0405
Bei11,OreAR,F,Day,072924A,3,Bei11_OreAR_F_Day_072924A_all,87,137,2.124,13.08,0.9966,0.0,0.0138
Bei11,OreAR,M,Day,072924A,1,Bei11_OreAR_M_Day_072924A_1,18,68,2.7974,45.6821,0.9746,0.0,0.051
Bei11,OreAR,M,Day,072924A,1,Bei11_OreAR_M_Day_072924A_2,74,124,2.7733,22.9426,0.9914,0.0,0.028999999999999998
Bei11,OreAR,M,Day,072924A,1,Bei11_OreAR_M_Day_072924A_3,26,76,2.3542,21.5998,0.9655,0.0,0.0504
Bei11,OreAR,M,Day,072924A,1,Bei11_OreAR_M_Day_072924A_4,45,95,2.0380000000000003,25.7859,0.9632,0.0,0.0451
Bei11,OreAR,M,Day,072924A,1,Bei11_OreAR_M_Day_072924A_5,19,69,1.9285,19.5171,0.9798,0.0,0.0313
Bei11,OreAR,M,Day,072924A,1,Bei11_OreAR_M_Day_072924A_6,53,103,2.65,4.9728,0.9874,0.0,0.0337
Bei11,OreAR,M,Day,072924A,1,Bei11_OreAR_M_Day_072924A_all,30,80,2.1589,30.226999999999997,0.9936,0.0,0.0195
Bei11,OreAR,M,Day,072924A,2,Bei11_OreAR_M_Day_072924A_1,29,79,1.8346,49.0177,0.9552,0.0,0.0451
Bei11,OreAR,M,Day,072924A,2,Bei11_OreAR_M_Day_072924A_2,91,141,3.0629,-51.1855,0.986,0.0,0.0411
Bei11,OreAR,M,Day,072924A,2,Bei11_OreAR_M_Day_072924A_3,89,139,3.7528,-80.2724,0.9805,0.0,0.0597
Bei11,OreAR,M,Day,072924A,2,Bei11_OreAR_M_Day_072924A_4,56,106,2.5069,16.96,0.9632,0.0,0.0555
Bei11,OreAR,M,Day,072924A,2,Bei11_OreAR_M_Day_072924A_5,63,113,2.0269999999999997,14.992,0.9861,0.0,0.0271
Bei11,OreAR,M,Day,072924A,2,Bei11_OreAR_M_Day_072924A_6,60,110,2.8811,-3.6813,0.9919,0.0,0.0292
Bei11,OreAR,M,Day,072924A,2,Bei11_OreAR_M_Day_072924A_all,67,117,2.1308,21.612,0.9921,0.0,0.0213
Bei11,OreAR,M,Day,072924A,3,Bei11_OreAR_M_Day_072924A_1,44,94,3.2951,-1.0204,0.9802,0.0,0.0528
Bei11,OreAR,M,Day,072924A,3,Bei11_OreAR_M_Day_072924A_2,92,142,4.2431,-100.9632,0.9813,0.0,0.066
Bei11,OreAR,M,Day,072924A,3,Bei11_OreAR_M_Day_072924A_3,89,139,2.7614,-39.3328,0.9872,0.0,0.0354
Bei11,OreAR,M,Day,072924A,3,Bei11_OreAR_M_Day_072924A_4,54,104,2.9754,-22.5533,0.9649,0.0,0.0642
Bei11,OreAR,M,Day,072924A,3,Bei11_OreAR_M_Day_072924A_5,74,124,2.5776,-20.8694,0.9932,0.0,0.0239
Bei11,OreAR,M,Day,072924A,3,Bei11_OreAR_M_Day_072924A_6,88,138,3.37,-74.8457,0.9879,0.0,0.0421
Bei11,OreAR,M,Day,072924A,3,Bei11_OreAR_M_Day_072924A_all,66,116,2.4707,-6.3548,0.9955,0.0,0.0187
Bei23,375AC,F,Day,072924A,1,Bei23_375AC_F_Day_072924A_1,41,91,3.3253,17.4366,0.9762,0.0,0.0586
Bei23,375AC,F,Day,072924A,1,Bei23_375AC_F_Day_072924A_2,48,98,2.9705,-8.7651,0.9788,0.0,0.0493
Bei23,375AC,F,Day,072924A,1,Bei23_375AC_F_Day_072924A_3,19,69,2.8948,87.4609,0.9772,0.0,0.0499
Bei23,375AC,F,Day,072924A,1,Bei23_375AC_F_Day_072924A_4,0,50,3.3683,46.8249,0.9819,0.0,0.0515
Bei23,375AC,F,Day,072924A,1,Bei23_375AC_F_Day_072924A_5,78,128,3.0805,17.4242,0.9879,0.0,0.0385
Bei23,375AC,F,Day,072924A,1,Bei23_375AC_F_Day_072924A_6,91,141,2.7587,15.2944,0.977,0.0,0.0478
Bei23,375AC,F,Day,072924A,1,Bei23_375AC_F_Day_072924A_all,0,50,2.4975,54.1658,0.9964,0.0,0.0169
Bei23,375AC,F,Day,072924A,2,Bei23_375AC_F_Day_072924A_1,15,65,2.7841,47.2026,0.9767,0.0,0.0486
Bei23,375AC,F,Day,072924A,2,Bei23_375AC_F_Day_072924A_2,1,51,2.4266,77.1536,0.9876,0.0,0.0306
Bei23,375AC,F,Day,072924A,2,Bei23_375AC_F_Day_072924A_3,53,103,2.1976,70.8735,0.9582,0.0,0.0521
Bei23,375AC,F,Day,072924A,2,Bei23_375AC_F_Day_072924A_4,22,72,3.6371,47.8682,0.9698,0.0,0.0726
Bei23,375AC,F,Day,072924A,2,Bei23_375AC_F_Day_072924A_5,2,52,4.0691,61.2291,0.9772,0.0,0.0701
