Mito,Nuc,Sex,Rep,Slope,Build,Vial,Set,Treatment,Stock
Bei54,Ore,M,3,1.8016,B,1,1,Rotenone,20B
Bei54,Ore,M,3,1.305,B,2,1,Rotenone,20B
Bei54,Ore,M,3,1.3264,B,3,1,Rotenone,20B
Bei54,Ore,M,3,1.2256,B,4,1,Rotenone,20B
Bei54,Ore,M,3,1.8405,B,5,1,Rotenone,20B
Bei54,Ore,M,3,0.9279,B,6,1,Rotenone,20B
Bei54,Ore,M,1,2.5942,A,1,1,Control,20A
Bei54,Ore,M,1,1.2719,A,2,1,Control,20A
Bei54,Ore,M,1,0.9272,A,3,1,Control,20A
Bei54,Ore,M,1,2.3598,A,4,1,Control,20A
Bei54,Ore,M,1,3.0148,A,5,1,Control,20A
Bei54,Ore,M,1,2.0988,A,6,1,Control,20A
Bei54,Ore,M,1,1.8743,B,1,1,Control,20B
Bei54,Ore,M,1,2.9975,B,2,1,Control,20B
Bei54,Ore,M,1,2.014,B,3,1,Control,20B
Bei54,Ore,M,1,2.4163,B,4,1,Control,20B
Bei54,Ore,M,1,2.0459,B,5,1,Control,20B
Bei54,Ore,M,1,2.8215,B,6,1,Control,20B
Bei54,Ore,M,2,2.5236,A,1,1,Control,20A
Bei54,Ore,M,2,2.8595,A,2,1,Control,20A
Bei54,Ore,M,2,2.158,A,3,1,Control,20A
Bei54,Ore,M,2,1.7336,A,4,1,Control,20A
Bei54,Ore,M,2,2.738,A,5,1,Control,20A
Bei54,Ore,M,2,2.3108,A,6,1,Control,20A
Bei54,Ore,M,2,3.281,B,1,1,Control,20B
Bei54,Ore,M,2,4.1189,B,2,1,Control,20B
Bei54,Ore,M,2,2.995,B,3,1,Control,20B
Bei54,Ore,M,2,2.8589,B,4,1,Control,20B
Bei54,Ore,M,2,2.5229,B,5,1,Control,20B
Bei54,Ore,M,2,2.4404,B,6,1,Control,20B
Bei54,Ore,M,3,3.0285,A,1,1,Control,20A
Bei54,Ore,M,3,1.483,A,2,1,Control,20A
Bei54,Ore,M,3,2.1841,A,3,1,Control,20A
Bei54,Ore,M,3,2.6464,A,4,1,Control,20A
Bei54,Ore,M,3,2.1101,A,5,1,Control,20A
Bei54,Ore,M,3,3.4938,A,6,1,Control,20A
Bei54,Ore,M,3,3.3566,B,1,1,Control,20B
Bei54,Ore,M,3,3.7474,B,2,1,Control,20B
Bei54,Ore,M,3,3.3095,B,3,1,Control,20B
Bei54,Ore,M,3,3.755,B,4,1,Control,20B
Bei54,Ore,M,3,2.9662,B,5,1,Control,20B
Bei54,Ore,M,3,2.4237,B,6,1,Control,20B
Bei59,375,F,1,1.7347,A,1,1,Rotenone,29A
Bei59,375,F,1,3.3824,A,2,1,Rotenone,29A
Bei59,375,F,1,3.794,A,3,1,Rotenone,29A
Bei59,375,F,1,3.065,A,4,1,Rotenone,29A
Bei59,375,F,1,4.2556,A,5,1,Rotenone,29A
Bei59,375,F,1,2.7815,A,6,1,Rotenone,29A
Bei59,375,F,1,3.4551,B,1,1,Rotenone,29B
Bei59,375,F,1,3.2123,B,2,1,Rotenone,29B
Bei59,375,F,1,2.7108,B,3,1,Rotenone,29B
Bei59,375,F,1,1.701,B,4,1,Rotenone,29B
Bei59,375,F,1,3.7872,B,5,1,Rotenone,29B
Bei59,375,F,1,3.6288,B,6,1,Rotenone,29B
Bei59,375,F,2,2.9718,A,1,1,Rotenone,29A
Bei59,375,F,2,2.8337,A,2,1,Rotenone,29A
Bei59,375,F,2,2.5259,A,3,1,Rotenone,29A
Bei59,375,F,2,2.4865,A,4,1,Rotenone,29A
Bei59,375,F,2,3.524,A,5,1,Rotenone,29A
Bei59,375,F,2,2.6068,A,6,1,Rotenone,29A
Bei59,375,F,2,3.1763,B,1,1,Rotenone,29B
Bei59,375,F,2,2.4714,B,2,1,Rotenone,29B
Bei59,375,F,2,1.9175,B,3,1,Rotenone,29B
Bei59,375,F,2,2.9083,B,4,1,Rotenone,29B
Bei59,375,F,2,3.3239,B,5,1,Rotenone,29B
Bei59,375,F,2,2.7882,B,6,1,Rotenone,29B
Bei59,375,F,3,3.7656,A,1,1,Rotenone,29A
Bei59,375,F,3,2.0336,A,2,1,Rotenone,29A
Bei59,375,F,3,2.5884,A,3,1,Rotenone,29A
Bei59,375,F,3,1.9674,A,4,1,Rotenone,29A
Bei59,375,F,3,3.1466,A,5,1,Rotenone,29A
Bei59,375,F,3,7.6703,A,6,1,Rotenone,29A
Bei59,375,F,3,2.8575,B,1,1,Rotenone,29B
Bei59,375,F,3,2.7922,B,2,1,Rotenone,29B
Bei59,375,F,3,2.38,B,3,1,Rotenone,29B
Bei59,375,F,3,2.7895,B,4,1,Rotenone,29B
Bei59,375,F,3,2.9173,B,5,1,Rotenone,29B
Bei59,375,F,3,3.2755,B,6,1,Rotenone,29B
Bei59,375,F,1,3.5471,A,1,1,Control,29A
Bei59,375,F,1,3.6855,A,2,1,Control,29A
Bei59,375,F,1,2.8114,A,3,1,Control,29A
Bei59,375,F,1,3.4196,A,4,1,Control,29A
Bei59,375,F,1,2.9497,A,5,1,Control,29A
Bei59,375,F,1,4.3088,A,6,1,Control,29A
Bei59,375,F,1,2.6068,B,1,1,Control,29B
Bei59,375,F,1,2.4075,B,2,1,Control,29B
Bei59,375,F,1,2.0144,B,3,1,Control,29B
Bei59,375,F,1,2.9484,B,4,1,Control,29B
Bei59,375,F,1,3.4978,B,5,1,Control,29B
Bei59,375,F,1,3.4693,B,6,1,Control,29B
Bei59,375,F,2,3.949,A,1,1,Control,29A
Bei59,375,F,2,3.2492,A,2,1,Control,29A
Bei59,375,F,2,2.2594,A,3,1,Control,29A
Bei59,375,F,2,3.6239,A,4,1,Control,29A
Bei59,375,F,2,2.3267,A,5,1,Control,29A
Bei59,375,F,2,3.7003,A,6,1,Control,29A
Bei59,375,F,2,3.7611,B,1,1,Control,29B
Bei59,375,F,2,2.9626,B,2,1,Control,29B
Bei59,375,F,2,2.6852,B,3,1,Control,29B
Bei59,375,F,2,2.3645,B,4,1,Control,29B
Bei59,375,F,2,3.3885,B,5,1,Control,29B
Bei59,375,F,2,2.6773,B,6,1,Control,29B
Bei59,375,F,3,3.0443,A,1,1,Control,29A
Bei59,375,F,3,3.4634,A,2,1,Control,29A
Bei59,375,F,3,2.5936,A,3,1,Control,29A
Bei59,375,F,3,3.6158,A,4,1,Control,29A
Bei59,375,F,3,2.7841,A,5,1,Control,29A
Bei59,375,F,3,4.0907,A,6,1,Control,29A
Bei59,375,F,3,3.7467,B,1,1,Control,29B
Bei59,375,F,3,2.8946,B,2,1,Control,29B
Bei59,375,F,3,2.5085,B,3,1,Control,29B
Bei59,375,F,3,2.2743,B,4,1,Control,29B
Bei59,375,F,3,3.085,B,5,1,Control,29B
Bei59,375,F,3,2.6127,B,6,1,Control,29B
Bei59,375,M,1,3.4371,A,1,1,Rotenone,29A
Bei59,375,M,1,3.0776,A,2,1,Rotenone,29A
Bei59,375,M,1,4.4123,A,3,1,Rotenone,29A
Bei59,375,M,1,3.0289,A,4,1,Rotenone,29A
Bei59,375,M,1,3.8201,A,5,1,Rotenone,29A
Bei59,375,M,1,3.623,A,6,1,Rotenone,29A
Bei59,375,M,1,2.6456,B,1,1,Rotenone,29B
Bei59,375,M,1,3.1588,B,2,1,Rotenone,29B
Bei59,375,M,1,3.362,B,3,1,Rotenone,29B
Bei59,375,M,1,4.0005,B,4,1,Rotenone,29B
Bei59,375,M,1,4.054,B,5,1,Rotenone,29B
Bei59,375,M,1,3.1829,B,6,1,Rotenone,29B
Bei59,375,M,2,2.1688,A,1,1,Rotenone,29A
Bei59,375,M,2,3.0852,A,2,1,Rotenone,29A
Bei59,375,M,2,3.9269,A,3,1,Rotenone,29A
Bei59,375,M,2,3.1297,A,4,1,Rotenone,29A
Bei59,375,M,2,3.8443,A,5,1,Rotenone,29A
Bei59,375,M,2,3.6128,A,6,1,Rotenone,29A
Bei59,375,M,2,2.8759,B,1,1,Rotenone,29B
Bei59,375,M,2,1.9381,B,2,1,Rotenone,29B
Bei59,375,M,2,3.0231,B,3,1,Rotenone,29B
Bei59,375,M,2,2.5306,B,4,1,Rotenone,29B
Bei59,375,M,2,2.1731,B,5,1,Rotenone,29B
Bei59,375,M,2,3.5129,B,6,1,Rotenone,29B
Bei59,375,M,3,4.0637,A,1,1,Rotenone,29A
Bei59,375,M,3,3.4839,A,2,1,Rotenone,29A
Bei59,375,M,3,4.1261,A,3,1,Rotenone,29A
Bei59,375,M,3,2.1173,A,4,1,Rotenone,29A
Bei59,375,M,3,4.0693,A,5,1,Rotenone,29A
Bei59,375,M,3,2.6581,A,6,1,Rotenone,29A
Bei59,375,M,3,2.8903,B,1,1,Rotenone,29B
Bei59,375,M,3,2.6743,B,2,1,Rotenone,29B
Bei59,375,M,3,2.556,B,3,1,Rotenone,29B
Bei59,375,M,3,2.7677,B,4,1,Rotenone,29B
Bei59,375,M,3,2.4961,B,5,1,Rotenone,29B
Bei59,375,M,3,4.2143,B,6,1,Rotenone,29B
Bei59,375,M,1,2.5709,A,1,1,Control,29A
Bei59,375,M,1,2.7527,A,2,1,Control,29A
Bei59,375,M,1,2.9128,A,3,1,Control,29A
Bei59,375,M,1,3.778,A,4,1,Control,29A
