Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,build,vial
Bei54,375,F,70323,3,Bei54_375A_F_070323__3,72,122,2.6057,31.9355,0.9969,0,0.0164,C,A,3
Bei54,375,F,70323,3,Bei54_375A_F_070323__4,90,140,2.8325,75.4496,0.9761,0,0.0501,C,A,4
Bei54,375,F,70323,3,Bei54_375A_F_070323__5,4,54,1.6843,78.4485,0.7758,0,0.1087,C,A,5
Bei54,375,F,70323,3,Bei54_375A_F_070323__6,27,77,2.4541,29.4641,0.9686,0,0.05,C,A,6
Bei54,375,F,70323,3,Bei54_375B_F_070323__1,22,72,4.5149,63.7025,0.9953,0,0.0348,C,B,1
Bei54,375,F,70323,3,Bei54_375B_F_070323__2,45,95,4.2061,34.7748,0.9964,0,0.0283,C,B,2
Bei54,375,F,70323,3,Bei54_375B_F_070323__3,14,64,3.7273,47.127,0.9954,0,0.0284,C,B,3
Bei54,375,F,70323,3,Bei54_375B_F_070323__4,38,88,3.6518,13.0178,0.9934,0,0.0335,C,B,4
Bei54,375,F,70323,3,Bei54_375B_F_070323__5,61,111,3.5019,99.6445,0.9934,0,0.032,C,B,5
Bei54,375,F,70323,3,Bei54_375B_F_070323__6,41,91,3.7897,49.1386,0.9954,0,0.0289,C,B,6
Bei54,375,M,070423R,1,Bei54_375A_M_070423R__1,48,98,3.9123,16.7714,0.9809,0,0.0616,R,A,1
Bei54,375,M,070423R,1,Bei54_375A_M_070423R__2,52,102,3.5986,8.6274,0.9984,0,0.0163,R,A,2
Bei54,375,M,070423R,1,Bei54_375A_M_070423R__3,11,61,3.4475,45.9384,0.9957,0,0.0254,R,A,3
Bei54,375,M,070423R,1,Bei54_375A_M_070423R__4,40,90,3.2713,76.4048,0.9813,0,0.051,R,A,4
Bei54,375,M,070423R,1,Bei54_375A_M_070423R__5,9,59,4.2988,41.8849,0.9948,0,0.035,R,A,5
Bei54,375,M,070423R,1,Bei54_375A_M_070423R__6,59,109,3.0735,29.4208,0.9653,0,0.066,R,A,6
Bei54,375,M,070423R,1,Bei54_375B_M_070423R__1,19,69,4.4082,37.7199,0.9921,0,0.0443,R,B,1
Bei54,375,M,070423R,1,Bei54_375B_M_070423R__2,20,70,3.3662,51.8672,0.9797,0,0.0547,R,B,2
Bei54,375,M,070423R,1,Bei54_375B_M_070423R__3,77,127,3.5908,-24.7014,0.9841,0,0.0514,R,B,3
Bei54,375,M,070423R,1,Bei54_375B_M_070423R__4,8,58,3.4841,51.6048,0.9881,0,0.043,R,B,4
Bei54,375,M,070423R,1,Bei54_375B_M_070423R__5,44,94,5.1266,10.8869,0.9872,0,0.0657,R,B,5
Bei54,375,M,070423R,1,Bei54_375B_M_070423R__6,79,129,2.3954,164.412,0.9868,0,0.0312,R,B,6
Bei54,375,M,070423R,2,Bei54_375A_M_070423R__1,31,81,4.0934,46.6215,0.9702,0,0.0811,R,A,1
