Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Bei11,OreBR,M,073024B,3,Bei11_OreBR_M_073024B__4,34,84,0.3775,33.251,0.7638,0.0,0.0253
Bei11,OreBR,M,073024B,3,Bei11_OreBR_M_073024B__5,33,83,0.8971,17.2961,0.9231,0.0,0.0297
Bei11,OreBR,M,073024B,3,Bei11_OreBR_M_073024B__6,77,127,2.6906,-66.8993,0.9824,0.0,0.0406
Bei11,OreBR,M,073024B,3,Bei11_OreBR_M_073024B__all,78,128,0.6883,20.4813,0.9702,0.0,0.0136
Bei23,375BC,F,073024B,1,Bei23_375BC_F_073024B__1,7,57,2.668,56.7139,0.9843,0.0,0.038
Bei23,375BC,F,073024B,1,Bei23_375BC_F_073024B__2,52,102,2.9624,-2.1021,0.9881,0.0,0.0366
Bei23,375BC,F,073024B,1,Bei23_375BC_F_073024B__3,37,87,3.0737,52.0773,0.9871,0.0,0.0395
Bei23,375BC,F,073024B,1,Bei23_375BC_F_073024B__4,60,110,2.8913,5.3078,0.9618,0.0,0.0653
Bei23,375BC,F,073024B,1,Bei23_375BC_F_073024B__5,13,63,2.8249,42.711999999999996,0.9707,0.0,0.0555
Bei23,375BC,F,073024B,1,Bei23_375BC_F_073024B__6,21,71,3.3109,44.5407,0.9931,0.0,0.0311
Bei23,375BC,F,073024B,1,Bei23_375BC_F_073024B__all,37,87,2.8258,40.2675,0.9959,0.0,0.0204
Bei23,375BC,F,073024B,2,Bei23_375BC_F_073024B__1,17,67,3.1784,39.8822,0.9806,0.0,0.0505
Bei23,375BC,F,073024B,2,Bei23_375BC_F_073024B__2,67,117,2.4649,55.381,0.9838,0.0,0.0357
Bei23,375BC,F,073024B,2,Bei23_375BC_F_073024B__3,16,66,2.2088,106.8214,0.9626,0.0,0.0493
Bei23,375BC,F,073024B,2,Bei23_375BC_F_073024B__4,0,50,1.5239,99.0312,0.9244,0.0,0.0499
Bei23,375BC,F,073024B,2,Bei23_375BC_F_073024B__5,60,110,3.222,55.7129,0.9858,0.0,0.0436
Bei23,375BC,F,073024B,2,Bei23_375BC_F_073024B__6,32,82,3.7159,40.3052,0.9977,0.0,0.0202
Bei23,375BC,F,073024B,2,Bei23_375BC_F_073024B__all,44,94,2.4545,74.5292,0.9953,0.0,0.019
