Stock,Vial,Treatment,Set,TSE,Build,Total,MitoNuc,Mito,Nuc,Set_adj,Pos_adj,Total_treat,Y_adj,Larval_density
Ore,3,Rotenone,2,11.3050847457627,parental,118,Ore_Ore,Ore,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.0649173926024,1.71078700361011
Ore,5,Rotenone,2,11.5222222222222,parental,135,Ore_Ore,Ore,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.2820548690619,1.95725631768953
375,1,Rotenone,2,9.5,parental,2,375_375,375,375,11.4197530919691,11.1795857388088,68.9741035856574,9.25983264683971,0.0289963898916967
375,3,Rotenone,2,11.5,parental,13,375_375,375,375,11.4197530919691,11.1795857388088,68.9741035856574,11.2598326468397,0.188476534296029
375,5,Rotenone,2,11.9576271186441,parental,59,375_375,375,375,11.4197530919691,11.1795857388088,68.9741035856574,11.7174597654838,0.855393501805054
10A,1,Rotenone,2,11.3059701492537,A,67,ZW144_375,ZW144,375,11.4197530919691,11.1795857388088,68.9741035856574,11.0658027960934,0.971379061371841
10A,3,Rotenone,2,11.490990990991,A,111,ZW144_375,ZW144,375,11.4197530919691,11.1795857388088,68.9741035856574,11.2508236378307,1.60929963898917
10A,5,Rotenone,2,11.5675675675676,A,74,ZW144_375,ZW144,375,11.4197530919691,11.1795857388088,68.9741035856574,11.3274002144073,1.07286642599278
3A,1,Control,3,10.1,A,5,ZW140_Ore,ZW140,Ore,10.8129475094612,10.9056854257238,82.1832669322709,10.1927379162626,0.0608396354469653
3A,3,Control,3,10,A,26,ZW140_Ore,ZW140,Ore,10.8129475094612,10.9056854257238,82.1832669322709,10.0927379162626,0.31636610432422
3A,5,Control,3,10.5,A,51,ZW140_Ore,ZW140,Ore,10.8129475094612,10.9056854257238,82.1832669322709,10.5927379162626,0.620564281559046
5A,1,Control,3,10.2142857142857,A,7,ZW09_Ore,ZW09,Ore,10.8129475094612,10.9056854257238,82.1832669322709,10.3070236305483,0.0851754896257514
5A,3,Control,3,10.2307692307692,A,78,ZW09_Ore,ZW09,Ore,10.8129475094612,10.9056854257238,82.1832669322709,10.3235071470318,0.949098312972659
5A,5,Control,3,10.1144578313253,A,83,ZW09_Ore,ZW09,Ore,10.8129475094612,10.9056854257238,82.1832669322709,10.2071957475879,1.00993794841962
