Stock,Vial,Treatment,Set,TSE,Build,Total,MitoNuc,Mito,Nuc
375,5,Rotenone,3,11.6506849315068,parental,73,375_375,375,375
3A,1,Rotenone,3,10.8846153846154,A,26,ZW140_Ore,ZW140,Ore
3A,3,Rotenone,3,10.8448275862069,A,29,ZW140_Ore,ZW140,Ore
3A,5,Rotenone,3,10.625,A,16,ZW140_Ore,ZW140,Ore
5A,1,Rotenone,3,10.7549019607843,A,51,ZW09_Ore,ZW09,Ore
5A,3,Rotenone,3,11.14,A,50,ZW09_Ore,ZW09,Ore
5A,5,Rotenone,3,11.0066666666667,A,75,ZW09_Ore,ZW09,Ore
21A,1,Rotenone,3,11.0714285714286,A,56,Bei52_Ore,Bei52,Ore
21A,3,Rotenone,3,10.8870967741935,A,31,Bei52_Ore,Bei52,Ore
21A,5,Rotenone,3,11.5192307692308,A,52,Bei52_Ore,Bei52,Ore
22A,1,Rotenone,3,11.2142857142857,A,14,Bei42_Ore,Bei42,Ore
22A,3,Rotenone,3,11.1774193548387,A,31,Bei42_Ore,Bei42,Ore
22A,5,Rotenone,3,10.9347826086957,A,23,Bei42_Ore,Bei42,Ore
41A,1,Rotenone,3,11.4183673469388,A,49,siI_Ore,siI,Ore
41A,3,Rotenone,3,10.9915254237288,A,59,siI_Ore,siI,Ore
41A,5,Rotenone,3,11.4545454545455,A,44,siI_Ore,siI,Ore
42A,1,Rotenone,3,11.0555555555556,A,18,yak_Ore,yak,Ore
42A,3,Rotenone,3,11.1363636363636,A,33,yak_Ore,yak,Ore
42A,5,Rotenone,3,11.25,A,12,yak_Ore,yak,Ore
12A,1,Rotenone,3,11.5987654320988,A,81,ZW140_375,ZW140,375
12A,3,Rotenone,3,11.4210526315789,A,38,ZW140_375,ZW140,375
12A,5,Rotenone,3,11.6707317073171,A,41,ZW140_375,ZW140,375
14A,1,Rotenone,3,11.5625,A,64,ZW09_375,ZW09,375
14A,3,Rotenone,3,11.2678571428571,A,56,ZW09_375,ZW09,375
14A,5,Rotenone,3,11.6372549019608,A,51,ZW09_375,ZW09,375
31A,1,Rotenone,3,11.9285714285714,A,49,Bei52_375,Bei52,375
31A,3,Rotenone,3,11.6836734693878,A,49,Bei52_375,Bei52,375
31A,5,Rotenone,3,11.5851063829787,A,47,Bei52_375,Bei52,375
32A,1,Rotenone,3,11.6232876712329,A,73,Bei42_375,Bei42,375
32A,3,Rotenone,3,11.3695652173913,A,46,Bei42_375,Bei42,375
32A,5,Rotenone,3,12.0744680851064,A,47,Bei42_375,Bei42,375
45A,1,Rotenone,3,11.6509433962264,A,53,siI_375,siI,375
45A,3,Rotenone,3,11.804347826087,A,46,siI_375,siI,375
45A,5,Rotenone,3,11.8,A,50,siI_375,siI,375
46A,1,Rotenone,3,11.483606557377,A,61,yak_375,yak,375
46A,3,Rotenone,3,11.4090909090909,A,55,yak_375,yak,375
46A,5,Rotenone,3,11.8066666666667,A,75,yak_375,yak,375
3B,1,Rotenone,3,10.8529411764706,B,17,ZW140_Ore,ZW140,Ore
3B,3,Rotenone,3,10.8421052631579,B,38,ZW140_Ore,ZW140,Ore
3B,5,Rotenone,3,10.7272727272727,B,22,ZW140_Ore,ZW140,Ore
5B,1,Rotenone,3,10.9736842105263,B,19,ZW09_Ore,ZW09,Ore
5B,3,Rotenone,3,11.1875,B,16,ZW09_Ore,ZW09,Ore
5B,5,Rotenone,3,11.2,B,20,ZW09_Ore,ZW09,Ore
21B,1,Rotenone,3,11.0454545454545,B,44,Bei52_Ore,Bei52,Ore
21B,3,Rotenone,3,11.195652173913,B,46,Bei52_Ore,Bei52,Ore
21B,5,Rotenone,3,10.8493975903614,B,83,Bei52_Ore,Bei52,Ore
22B,1,Rotenone,3,10.7978723404255,B,47,Bei42_Ore,Bei42,Ore
22B,3,Rotenone,3,11.1282051282051,B,78,Bei42_Ore,Bei42,Ore
22B,5,Rotenone,3,10.9782608695652,B,46,Bei42_Ore,Bei42,Ore
41B,1,Rotenone,3,11.2209302325581,B,43,siI_Ore,siI,Ore
41B,3,Rotenone,3,11.0925925925926,B,54,siI_Ore,siI,Ore
41B,5,Rotenone,3,11.2460317460317,B,63,siI_Ore,siI,Ore
42B,1,Rotenone,3,10.8529411764706,B,17,yak_Ore,yak,Ore
42B,3,Rotenone,3,10.6111111111111,B,18,yak_Ore,yak,Ore
42B,5,Rotenone,3,11.0714285714286,B,42,yak_Ore,yak,Ore
12B,1,Rotenone,3,11.4777777777778,B,45,ZW140_375,ZW140,375
12B,3,Rotenone,3,11.3684210526316,B,38,ZW140_375,ZW140,375
12B,5,Rotenone,3,11.3372093023256,B,43,ZW140_375,ZW140,375
14B,1,Rotenone,3,11.734375,B,64,ZW09_375,ZW09,375
14B,3,Rotenone,3,11.4454545454545,B,55,ZW09_375,ZW09,375
14B,5,Rotenone,3,11.2719298245614,B,57,ZW09_375,ZW09,375
31B,1,Rotenone,3,11.4428571428571,B,70,Bei52_375,Bei52,375
31B,3,Rotenone,3,11.171875,B,64,Bei52_375,Bei52,375
31B,5,Rotenone,3,11.2884615384615,B,52,Bei52_375,Bei52,375
32B,1,Rotenone,3,11.1666666666667,B,60,Bei42_375,Bei42,375
32B,3,Rotenone,3,11.0384615384615,B,52,Bei42_375,Bei42,375
32B,5,Rotenone,3,11.25,B,44,Bei42_375,Bei42,375
45B,1,Rotenone,3,11.2234042553191,B,47,siI_375,siI,375
45B,3,Rotenone,3,11.4452054794521,B,73,siI_375,siI,375
45B,5,Rotenone,3,11.2708333333333,B,48,siI_375,siI,375
46B,1,Rotenone,3,11.8461538461538,B,52,yak_375,yak,375
46B,3,Rotenone,3,11.8623188405797,B,69,yak_375,yak,375
46B,5,Rotenone,3,12.0897435897436,B,78,yak_375,yak,375
6A,1,Control,4,10.6460674157303,A,89,ZH42_Ore,ZH42,Ore
6A,3,Control,4,11.9130434782609,A,46,ZH42_Ore,ZH42,Ore
6A,5,Control,4,10.8733333333333,A,75,ZH42_Ore,ZH42,Ore
6B,1,Control,4,10.4428571428571,B,35,ZH42_Ore,ZH42,Ore
6B,3,Control,4,10.9109589041096,B,73,ZH42_Ore,ZH42,Ore
6B,5,Control,4,10.3571428571429,B,56,ZH42_Ore,ZH42,Ore
15A,1,Control,4,11.1981132075472,A,53,ZH42_375,ZH42,375
15A,3,Control,4,11.7666666666667,A,30,ZH42_375,ZH42,375
15A,5,Control,4,11.1153846153846,A,52,ZH42_375,ZH42,375
