"Sex","Nuc","Treatment","boot"
"F","375","Control",0.0384718523734121
"F","375","Control",0.031919149429747
"F","375","Control",0.0355643689225451
"F","375","Control",0.0364670264136073
"F","375","Control",0.032757920465222
"F","375","Control",0.0319467291119804
"F","375","Control",0.034002144760462
"F","375","Control",0.039799491042845
"F","375","Control",0.0378713297820205
"F","375","Control",0.0365496720577894
"F","375","Control",0.0279389897431142
"F","375","Control",0.0315299452454966
"F","375","Control",0.0384600503957254
"F","375","Control",0.0346847322275219
"F","375","Control",0.0330317467851039
"F","375","Control",0.0347732544122174
"F","375","Control",0.0379000711106265
"F","375","Control",0.038627674798349
"F","375","Control",0.0394713815226705
"F","375","Control",0.0389416031093816
"F","375","Control",0.0417371683903904
"F","375","Control",0.0350594607583477
"F","375","Control",0.0359121629590429
"F","375","Control",0.0357203239391259
"F","375","Control",0.0388298041143026
"F","375","Control",0.02891681230359
"F","375","Control",0.0372493123557525
"F","375","Control",0.0389591632528636
"F","375","Control",0.0318828895042608
"F","375","Control",0.0354700030453498
"F","375","Control",0.0281140954262364
"F","375","Control",0.0398085136471035
"F","375","Control",0.0411086600861272
"F","375","Control",0.0328844881565088
"F","375","Control",0.0421129826313433
"F","375","Control",0.0364413048220099
"F","375","Control",0.0448904223805444
"F","375","Control",0.031506797236177
"F","375","Control",0.0359247752042909
"F","375","Control",0.0384344154658307
"F","375","Control",0.0321573767950579
"F","375","Control",0.0331641087662408
"F","375","Control",0.0282186707769284
"F","375","Control",0.0323937026103905
"F","375","Control",0.0357395506129377
"F","375","Control",0.0372499932211004
"F","375","Control",0.0346948648249948
"F","375","Control",0.0324297255911459
"F","375","Control",0.0415707943173822
"F","375","Control",0.0374812226228804
"F","375","Control",0.0270607388585668
"F","375","Control",0.0376535534301514
"F","375","Control",0.0273821022721825
"F","375","Control",0.0281796303545233
"F","375","Control",0.0383077511117918
"F","375","Control",0.0352233772960681
"F","375","Control",0.028697461784709
"F","375","Control",0.0333681258036656
"F","375","Control",0.0365491569011319
"F","375","Control",0.0357010153621138
"F","375","Control",0.0324210426711092
"F","375","Control",0.0338012095850215
"F","375","Control",0.031057810545502
"F","375","Control",0.0381100689865226
"F","375","Control",0.0319409757885756
"F","375","Control",0.0282815273774941
"F","375","Control",0.041143849538957
"F","375","Control",0.0400366328155259
"F","375","Control",0.0368922341795019
"F","375","Control",0.0384678548825076
"F","375","Control",0.0339446180040658
"F","375","Control",0.0374046836029256
"F","375","Control",0.0363040126075617
"F","375","Control",0.0348809794145719
"F","375","Control",0.0263682210079088
"F","375","Control",0.0321272886215224
"F","375","Control",0.0370299333095992
"F","375","Control",0.0316594132005194
"F","375","Control",0.0419153389038607
"F","375","Control",0.0341503271566293
"F","375","Control",0.0379372281379049
"F","375","Control",0.0302999081318497
"F","375","Control",0.0371237293583082
"F","375","Control",0.0362011773094952
"F","375","Control",0.0327321296223381
"F","375","Control",0.0403861473934868
"F","375","Control",0.0329406952546329
"F","375","Control",0.0373154522007213
"F","375","Control",0.0328692122127273
"F","375","Control",0.029509690589675
"F","375","Control",0.0286957973842586
"F","375","Control",0.0386446732310807
"F","375","Control",0.0336519467588429
"F","375","Control",0.027352695838327
"F","375","Control",0.0393692878824997
"F","375","Control",0.0368433860647798
"F","375","Control",0.033421445444333
"F","375","Control",0.0341164020435704
"F","375","Control",0.0396688184704135
"F","375","Control",0.0319096803176954
"F","375","Control",0.031798237061376
"F","375","Control",0.0314027023309745
"F","375","Control",0.0284381997589953
"F","375","Control",0.0368405425793423
"F","375","Control",0.0342131698779629
"F","375","Control",0.0304722095900743
"F","375","Control",0.0358172581538391
"F","375","Control",0.0357107597402697
"F","375","Control",0.0359862007873748
"F","375","Control",0.0325279808230957
"F","375","Control",0.040762043681541
"F","375","Control",0.030478657496949
"F","375","Control",0.0339581921314989
"F","375","Control",0.0318279375702487
"F","375","Control",0.0354567084004394
"F","375","Control",0.0301230188517312
"F","375","Control",0.0401650417228483
