"Sex","Nuc","Treatment","boot"
"F","375","Control",0.0786405527118572
"F","375","Control",0.08626335125944
"F","375","Control",0.111757296742222
"F","375","Control",0.0982039300086691
"F","375","Control",0.0856031388827445
"F","375","Control",0.0668948565705085
"F","375","Control",0.106138550106249
"F","375","Control",0.091735675912336
"F","375","Control",0.091244776177792
"F","375","Control",0.117831185179314
"F","375","Control",0.0947823974850947
"F","375","Control",0.0980692563998503
"F","375","Control",0.0828377259798712
"F","375","Control",0.107157143817703
"F","375","Control",0.100611518858868
"F","375","Control",0.0991599980893172
"F","375","Control",0.100169981161345
"F","375","Control",0.105623881645222
"F","375","Control",0.0895477722649721
"F","375","Control",0.0810743636216885
"F","375","Control",0.0730265410743063
"F","375","Control",0.0668008988732745
"F","375","Control",0.0985303051360166
"F","375","Control",0.0576020324894907
"F","375","Control",0.0987534678544497
"F","375","Control",0.083970810947513
"F","375","Control",0.0842176400723958
"F","375","Control",0.0764797769685481
"F","375","Control",0.0933206605700984
"F","375","Control",0.0945525128024108
"F","375","Control",0.105542776839511
"F","375","Control",0.0976306390448854
"F","375","Control",0.107696758232052
"F","375","Control",0.0893978761654068
"F","375","Control",0.096153038057143
"F","375","Control",0.0579787739296318
"F","375","Control",0.0866888336885449
"F","375","Control",0.10443402318581
"F","375","Control",0.100054372082423
"F","375","Control",0.093665641621728
"F","375","Control",0.0863760202888914
"F","375","Control",0.0782339584952757
"F","375","Control",0.0654383040793813
"F","375","Control",0.0956028226335726
"F","375","Control",0.0940944219735815
"F","375","Control",0.0902818894711771
"F","375","Control",0.0971501025110815
"F","375","Control",0.0949685173387077
"F","375","Control",0.0904384732953733
"F","375","Control",0.0726604959975592
"F","375","Control",0.0852475229255072
"F","375","Control",0.0930070764953329
"F","375","Control",0.0926980408987551
"F","375","Control",0.103691844647144
"F","375","Control",0.0832855653789603
"F","375","Control",0.0885071557865009
"F","375","Control",0.0890821564507455
"F","375","Control",0.0911609246592429
"F","375","Control",0.102977624201161
"F","375","Control",0.110549640824157
"F","375","Control",0.0630485357525162
"F","375","Control",0.113559160412325
"F","375","Control",0.0818901636261153
"F","375","Control",0.0847063546548341
"F","375","Control",0.0802567989226649
"F","375","Control",0.0764139902643279
"F","375","Control",0.0926210811001918
"F","375","Control",0.0938122375952194
"F","375","Control",0.0778137551119743
"F","375","Control",0.0764266674193859
"F","375","Control",0.0757956663701003
"F","375","Control",0.0940320120343373
"F","375","Control",0.0744941894713222
"F","375","Control",0.0983461007035871
"F","375","Control",0.094073605470289
"F","375","Control",0.10205402096602
"F","375","Control",0.0790062209203603
"F","375","Control",0.0996682810926888
"F","375","Control",0.10530444787353
"F","375","Control",0.0722180217440689
"F","375","Control",0.106080310277034
"F","375","Control",0.115904192989616
"F","375","Control",0.0714749572177238
"F","375","Control",0.0954618990039812
"F","375","Control",0.101044556538744
"F","375","Control",0.100762398205285
"F","375","Control",0.0938064843079396
"F","375","Control",0.0846653654977994
"F","375","Control",0.0924990860689321
"F","375","Control",0.105009071163115
"F","375","Control",0.0836423904413423
"F","375","Control",0.0920127673864094
"F","375","Control",0.0749770092866739
"F","375","Control",0.0946296320779628
"F","375","Control",0.0858844278199963
"F","375","Control",0.0738079594929987
"F","375","Control",0.096677657212695
"F","375","Control",0.0900603153590465
"F","375","Control",0.0767479070238021
"F","375","Control",0.109994855792434
"F","375","Control",0.0990173857221065
"F","375","Control",0.09103638529551
"F","375","Control",0.0740469744342906
"F","375","Control",0.0954933165671004
"F","375","Control",0.0906464158031762
"F","375","Control",0.0634130823853939
"F","375","Control",0.067686873897383
"F","375","Control",0.094218354335704
"F","375","Control",0.0918116329003108
"F","375","Control",0.0896767579028329
"F","375","Control",0.0703842819347908
"F","375","Control",0.0849277413866742
"F","375","Control",0.088378812979393
"F","375","Control",0.077360090822526
"F","375","Control",0.090200002663217
"F","375","Control",0.0638059865321419
"F","375","Control",0.0895370124188821
"F","375","Control",0.0783286572845804
"F","375","Control",0.0846035944390866
"F","375","Control",0.0917506075964397
"F","375","Control",0.0947610100090864
"F","375","Control",0.0911864291357614
"F","375","Control",0.0905968633906823
"F","375","Control",0.0750121234181781
"F","375","Control",0.0954981497643481
"F","375","Control",0.110602745311609
"F","375","Control",0.104622727613698
"F","375","Control",0.0953060679995372
"F","375","Control",0.0986031603971118
"F","375","Control",0.082195115291984
"F","375","Control",0.0870663546053219
"F","375","Control",0.0963964421496756
"F","375","Control",0.0732964487202602
"F","375","Control",0.086770505574435
"F","375","Control",0.118410799256415
"F","375","Control",0.0838470037390345
"F","375","Control",0.0809939107632579
"F","375","Control",0.077085578499886
"F","375","Control",0.0865248428020921
"F","375","Control",0.102344617330468
"F","375","Control",0.071164969606359
"F","375","Control",0.0731251888312332
"F","375","Control",0.0970468134422997
"F","375","Control",0.101852412111238
"F","375","Control",0.0923816613573493
"F","375","Control",0.0785892367040835
"F","375","Control",0.0898190893252133
"F","375","Control",0.0840281610612745
"F","375","Control",0.0887970728480082
"F","375","Control",0.073506455551289
"F","375","Control",0.0989942780498034
"F","375","Control",0.113836178967136
"F","375","Control",0.103641178937091
"F","375","Control",0.0965658819352029
"F","375","Control",0.0615293623713441
"F","375","Control",0.0926984089171514
"F","375","Control",0.0755467914245198
"F","375","Control",0.102231954206235
"F","375","Control",0.0899801901297279
"F","375","Control",0.0896077056376105
"F","375","Control",0.117524965597032
"F","375","Control",0.0929699656552489
"F","375","Control",0.0925493856296452
"F","375","Control",0.100715418039455
"F","375","Control",0.0940211928449339
"F","375","Control",0.111630393146415
"F","375","Control",0.0877601660097588
"F","375","Control",0.109084738401183
