"Mito","Nuc","Treatment","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"Bei38","Ore","Control",1.20995179904198,-2.69223348041165,0.814572541867106,-0.66120314188648,0.103077219260002,-0.170602865685305,0.141046056927299
"Bei38","Ore","Rotenone",1.93961708070414,-3.20396751763946,1.34919080020822,0.192620004426889,-1.26300198347151,-1.14830874944354,0.128015922153926
"Bei42","375","Control",-2.19030162400374,-0.00871740724437817,0.257581702795357,-0.393981362360049,-0.451722293666883,-0.0533577439655817,0.242613815884688
"Bei42","375","Rotenone",-1.63369406076569,0.411327505811001,0.00486337719953311,-0.0725001707240751,-1.01229353549079,0.0513938207572083,0.667558273857421
"Bei42","Ore","Control",2.67386959758029,-0.50630105385049,-0.708568122190462,1.49907236059272,-0.462106129764235,-0.316026881586961,0.795349513230427
"Bei42","Ore","Rotenone",2.36039797389712,-0.548185514756623,-0.473517722363934,2.03683399846734,-1.0377274659284,0.122330190774281,-0.0944759714986984
"Bei52","375","Control",-1.7288591810913,1.26276476075688,-0.383268750590644,0.335037171415259,0.0509827714949195,-0.0404695817802358,0.0203307639444108
"Bei52","375","Rotenone",-1.84110528218902,-0.180045051379634,0.490965625568108,0.0954545627732049,-0.624203048011807,-0.268637367832315,-0.232385920869352
"Bei52","Ore","Control",3.1162725856126,0.247957138316886,-0.770419847419953,1.29803980528038,0.417743904561615,-1.08294270933254,-0.159349118475222
"Bei52","Ore","Rotenone",1.43339779880545,-0.138365648292516,0.329862694927207,0.7947846144127,-0.543559780616341,-0.513352078620798,-1.06986453819409
"Bei54","375","Control",-2.35905742751929,1.15357699282337,2.8446719525501,0.763729527504395,1.79772804906931,-0.425632134617038,0.210422569230809
"Bei54","375","Rotenone",-2.14723581597879,0.321222506792532,1.42488808950874,0.788895975376064,0.285946785703673,-0.426005152689268,0.16895026763763
"Bei54","Ore","Control",0.524937871976235,-0.0877688126085549,0.211673299732558,-0.807889887156515,0.422297218455903,-0.248823024898223,-0.51661143771866
"Bei54","Ore","Rotenone",2.38306999204509,2.40059618133275,6.05068935947525,0.756247107660926,0.697933979221007,0.269483385394689,0.0113930792003029
"Bei59","375","Control",-1.47044200405595,0.812270282809695,-0.905085792976554,-0.629626830905939,0.768021159117612,0.754470173849594,0.0717384401846832
"Bei59","375","Rotenone",-1.61276724893522,-0.581702781436528,-0.859078236682186,-0.976663906466936,0.443639764611346,0.197211348047106,-0.171521078673889
"Bei59","Ore","Control",1.73482873598105,0.685757807002263,-1.05764694875188,0.214079186015037,-0.29158432814007,-0.221518039419659,-0.686536522932351
"Bei59","Ore","Rotenone",2.41814189169669,-0.597178578479867,0.609378724120593,-0.724951842109175,-1.1208216614127,0.512539824084763,0.120455875626337
"Ore","Ore","Control",2.08264685223479,0.208747920365952,-0.306391239132064,-0.503417263734716,0.0781336383807895,-0.00101566217549443,-0.406747160174894
"Ore","Ore","Rotenone",2.51908863303434,0.963059019137088,-0.514591539396697,-0.0694191602209007,-1.08964783795909,0.195443004301936,-0.148410341216004
"ZH23","375","Control",-1.68610329410487,-1.00903612807038,-0.13770899531742,0.16302092447995,0.374620884663959,-0.0374556709355176,-0.14321787503625
"ZH23","375","Rotenone",-1.47275477642594,-3.22047947241097,0.669920896870291,0.610972736416932,-0.296764388998611,1.10899565416451,0.00445007373992082
"ZH23","Ore","Control",1.02333989883178,-2.08802322448837,0.735860979134046,-0.668403739085405,0.544636842044229,-0.704928763548399,0.0170780036580855
"ZH23","Ore","Rotenone",1.02921519961365,-2.02679346756836,0.798262807693699,-0.810691936348562,-1.13320707966295,-0.474094914166978,0.0838569835247029
"ZH26","375","Control",-0.905899812088333,1.60059213929499,-1.44259367238957,1.49312354295225,0.649063470418251,0.0929783279302097,0.0758521462849108
"ZH26","375","Rotenone",-1.63044380155083,0.864985224796319,-0.429188446252665,0.685162213944812,0.523143223509221,0.316314031717349,0.195690597167841
"ZH26","Ore","Control",2.16315634994007,0.310885938721002,0.997734451952769,-0.179510038023062,0.648725642346514,-0.484345465629167,0.388710952906257
