Mito,Nuc,treatment,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,vial,build
Bei11,375,C,F,71323,2,Bei11_375BC_F_071323__2,60,110,1.7066,100.147,0.9818,0,0.0262,2,B
Bei11,375,C,F,71323,2,Bei11_375BC_F_071323__3,92,142,3.1698,-15.8943,0.9895,0,0.0367,3,B
Bei11,375,C,F,71323,2,Bei11_375BC_F_071323__4,37,87,3.1928,44.1897,0.9869,0,0.0415,4,B
Bei11,375,C,F,71323,2,Bei11_375BC_F_071323__5,61,111,2.9869,10.5709,0.9934,0,0.0273,5,B
Bei11,375,C,F,71323,2,Bei11_375BC_F_071323__6,29,79,2.2813,43.5328,0.9824,0,0.0345,6,B
Bei11,375,C,F,71323,3,Bei11_375BC_F_071323__1,9,59,3.1439,48.7612,0.983,0,0.0466,1,B
Bei11,375,C,F,71323,3,Bei11_375BC_F_071323__2,79,129,2.7452,12.4228,0.9811,0,0.0429,2,B
Bei11,375,C,F,71323,3,Bei11_375BC_F_071323__3,87,137,2.0363,62.8693,0.9827,0,0.0305,3,B
Bei11,375,C,F,71323,3,Bei11_375BC_F_071323__4,26,76,2.1744,41.3463,0.9724,0,0.0414,4,B
Bei11,375,C,F,71323,3,Bei11_375BC_F_071323__5,43,93,2.3396,40.6454,0.9867,0,0.0306,5,B
Bei11,375,C,F,71323,3,Bei11_375BC_F_071323__6,72,122,3.6497,-31.3225,0.9909,0,0.0394,6,B
Bei11,375,C,M,71223,1,Bei11_375AC_M_071223__1,24,74,4.6768,33.9427,0.9921,0,0.0469,1,A
Bei11,375,C,M,71223,1,Bei11_375AC_M_071223__2,81,131,2.2235,78.1799,0.9815,0,0.0344,2,A
Bei11,375,C,M,71223,1,Bei11_375AC_M_071223__3,51,101,4.3097,5.5789,0.9881,0,0.0533,3,A
Bei11,375,C,M,71223,1,Bei11_375AC_M_071223__4,26,76,4.5133,40.1177,0.9934,0,0.0414,4,A
Bei11,375,C,M,71223,1,Bei11_375AC_M_071223__5,11,61,4.426,40.8539,0.9884,0,0.0539,5,A
Bei11,375,C,M,71223,1,Bei11_375AC_M_071223__6,30,80,3.9265,47.9411,0.9869,0,0.0509,6,A
Bei11,375,C,M,71223,2,Bei11_375AC_M_071223__1,12,62,2.9531,45.7444,0.9845,0,0.0417,1,A
Bei11,375,C,M,71223,2,Bei11_375AC_M_071223__2,49,99,2.8472,59.1797,0.9579,0,0.0678,2,A
Bei11,375,C,M,71223,2,Bei11_375AC_M_071223__3,24,74,4.5634,36.0814,0.9912,0,0.0484,3,A
Bei11,375,C,M,71223,2,Bei11_375AC_M_071223__4,48,98,4.0126,20.9551,0.9851,0,0.0556,4,A
Bei11,375,C,M,71223,2,Bei11_375AC_M_071223__5,7,57,3.7483,55.0311,0.9872,0,0.0481,5,A
Bei11,375,C,M,71223,2,Bei11_375AC_M_071223__6,46,96,3.5222,47.6024,0.9868,0,0.0458,6,A
Bei11,375,C,M,71223,3,Bei11_375AC_M_071223__1,0,50,3.1595,66.4581,0.9598,0,0.0733,1,A
Bei11,375,C,M,71223,3,Bei11_375AC_M_071223__2,19,69,3.2747,60.9783,0.9853,0,0.0451,2,A
Bei11,375,C,M,71223,3,Bei11_375AC_M_071223__3,39,89,3.3127,66.4202,0.961,0,0.0757,3,A
Bei11,375,C,M,71223,3,Bei11_375AC_M_071223__4,61,111,3.9283,42.2549,0.9868,0,0.0511,4,A
Bei11,375,C,M,71223,3,Bei11_375AC_M_071223__5,61,111,3.278,69.952,0.9902,0,0.0367,5,A
Bei11,375,C,M,71223,3,Bei11_375AC_M_071223__6,20,70,3.7996,51.9797,0.9882,0,0.0467,6,A
Bei11,375,C,M,71323,1,Bei11_375BC_M_071323__1,0,50,3.1669,116.1434,0.9554,0,0.0777,1,B
Bei11,375,C,M,71323,1,Bei11_375BC_M_071323__2,1,51,3.0433,73.4372,0.9729,0,0.0574,2,B
Bei11,375,C,M,71323,1,Bei11_375BC_M_071323__3,92,142,2.7788,48.5618,0.9577,0,0.0662,3,B
Bei11,375,C,M,71323,1,Bei11_375BC_M_071323__4,9,59,2.7162,52.2896,0.9654,0,0.0582,4,B
Bei11,375,C,M,71323,1,Bei11_375BC_M_071323__5,2,52,2.0711,56.7522,0.9464,0,0.0561,5,B
Bei11,375,C,M,71323,1,Bei11_375BC_M_071323__6,35,85,2.9788,87.1098,0.9141,0,0.1049,6,B
Bei11,375,C,M,71323,2,Bei11_375BC_M_071323__1,85,135,3.8401,-6.2003,0.9763,0,0.0676,1,B
Bei11,375,C,M,71323,2,Bei11_375BC_M_071323__2,32,82,3.4481,58.6807,0.987,0,0.0446,2,B
Bei11,375,C,M,71323,2,Bei11_375BC_M_071323__3,14,64,1.9654,99.3811,0.9822,0,0.0298,3,B
Bei11,375,C,M,71323,2,Bei11_375BC_M_071323__4,34,84,2.345,105.3895,0.9704,0,0.0463,4,B
Bei11,375,C,M,71323,2,Bei11_375BC_M_071323__5,4,54,2.5564,78.9488,0.984,0,0.0367,5,B
Bei11,375,C,M,71323,2,Bei11_375BC_M_071323__6,0,50,2.7787,84.4199,0.9744,0,0.0509,6,B
Bei11,375,C,M,71323,3,Bei11_375BC_M_071323__1,36,86,2.5132,87.8822,0.9843,0,0.0357,1,B
Bei11,375,C,M,71323,3,Bei11_375BC_M_071323__2,72,122,2.7563,94.6672,0.9885,0,0.0335,2,B
Bei11,375,C,M,71323,3,Bei11_375BC_M_071323__3,54,104,3.7838,18.4227,0.9767,0,0.066,3,B
Bei11,375,C,M,71323,3,Bei11_375BC_M_071323__4,25,75,3.0069,53.2575,0.9513,0,0.0773,4,B
Bei11,375,C,M,71323,3,Bei11_375BC_M_071323__5,4,54,2.6725,69.8669,0.9522,0,0.068,5,B
Bei11,375,C,M,71323,3,Bei11_375BC_M_071323__6,0,50,3.1552,51.833,0.9829,0,0.047,6,B
Bei11,375,R,F,71223,1,Bei11_375AR_F_071223__1,62,112,3.1311,32.8733,0.9964,0,0.021,1,A
Bei11,375,R,F,71223,1,Bei11_375AR_F_071223__2,28,78,3.1954,35.0809,0.9913,0,0.0338,2,A
Bei11,375,R,F,71223,1,Bei11_375AR_F_071223__3,22,72,2.9315,70.9507,0.9635,0,0.0646,3,A
Bei11,375,R,F,71223,1,Bei11_375AR_F_071223__4,36,86,2.7941,52.6332,0.994,0,0.0245,4,A
Bei11,375,R,F,71223,1,Bei11_375AR_F_071223__5,0,50,2.6678,57.6527,0.9856,0,0.0364,5,A
Bei11,375,R,F,71223,1,Bei11_375AR_F_071223__6,70,120,1.9429,108.8697,0.9757,0,0.0346,6,A
Bei11,375,R,F,71223,2,Bei11_375AR_F_071223__1,45,95,3.5492,-2.6562,0.9902,0,0.0397,1,A
Bei11,375,R,F,71223,2,Bei11_375AR_F_071223__2,87,137,2.5859,90.2462,0.9806,0,0.041,2,A
Bei11,375,R,F,71223,2,Bei11_375AR_F_071223__3,75,125,2.7988,29.8865,0.9612,0,0.0637,3,A
Bei11,375,R,F,71223,2,Bei11_375AR_F_071223__4,35,85,4.5256,-1.7499,0.9933,0,0.0417,4,A
Bei11,375,R,F,71223,2,Bei11_375AR_F_071223__5,66,116,2.5387,41.4497,0.991,0,0.0272,5,A
Bei11,375,R,F,71223,2,Bei11_375AR_F_071223__6,41,91,3.2445,47.9713,0.9951,0,0.0256,6,A
Bei11,375,R,F,71223,3,Bei11_375AR_F_071223__1,68,118,2.8858,17.4499,0.9886,0,0.0348,1,A
