Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set,MitoNuc,Mito,Nuc,weight_per_fly,Build,z,Set_adj,Pos_adj,Y_adj
46A,1.000158,13,1.015436,F,Control,2,yak_375,yak,375,0.00117523076923076,A,-0.0191244567885392,0.00124479621146398,0.00118354565556564,0.00111398021333242
46A,1.017814,13,1.031688,F,Control,4,yak_375,yak,375,0.00106723076923076,A,-0.538990041727043,0.00124465448717949,0.00118354565556564,0.00100612193761691
46A,0.971876,20,0.98684,M,Control,9,yak_375,yak,375,0.000748200000000004,A,-0.0802733836730158,0.000853247961816306,0.000743674151688568,0.000638626189872266
46A,1.06944,19,1.092648,F,Rotenone,3,yak_375,yak,375,0.00122147368421053,A,0.20346906214868,0.00125542095073542,0.00116980665562678,0.00113585938910189
46A,0.958748,21,0.986594,M,Control,9,yak_375,yak,375,0.001326,A,2.32262558490989,0.000853247961816306,0.000743674151688568,0.00121642618987226
46A,1.011058,8,1.01976,F,Rotenone,6,yak_375,yak,375,0.00108775,A,-0.440219283335015,0.00109826053391053,0.00116980665562678,0.00115929612171625
46A,0.966022,12,0.9736,M,Control,7,yak_375,yak,375,0.000631499999999998,A,-0.565594099549862,0.000689681637806636,0.000743674151688568,0.00068549251388193
46A,1.039674,13,1.053416,F,Rotenone,4,yak_375,yak,375,0.00105707692307692,A,-0.587866293302429,0.00120773986568987,0.00116980665562678,0.00101914371301383
46A,0.993412,10,1.003544,F,Control,6,yak_375,yak,375,0.0010132,A,-0.79907094404951,0.0010485245014245,0.00118354565556564,0.00114822115414114
46A,0.963328,14,0.974058,M,Control,2,yak_375,yak,375,0.000766428571428573,A,-0.00446615715095185,0.000819221475256768,0.000743674151688568,0.000690881247860373
46A,1.03177,18,1.04681,M,Rotenone,3,yak_375,yak,375,0.000835555555555552,A,0.283012484005099,0.000820384213025441,0.000751470968198374,0.000766642310728485
46A,1.0266,21,1.05134,F,Rotenone,9,yak_375,yak,375,0.00117809523809524,A,-0.00533613473510375,0.00131216049519223,0.00116980665562678,0.00103574139852979
46A,0.968958,12,0.977026,M,Control,6,yak_375,yak,375,0.00067233333333333,A,-0.395780367202222,0.000692333333333334,0.000743674151688568,0.000723674151688564
46A,0.978396,12,0.985992,M,Control,5,yak_375,yak,375,0.000632999999999995,A,-0.559356044075879,0.000733594195156694,0.000743674151688568,0.000643079956531869
46A,0.952596,12,0.960786,M,Control,5,yak_375,yak,375,0.000682500000000003,A,-0.353500213434007,0.000733594195156694,0.000743674151688568,0.000692579956531877
46A,1.00763,21,1.02377,M,Control,3,yak_375,yak,375,0.000768571428571431,A,0.00444535066904476,0.000798993217893219,0.000743674151688568,0.00071325236236678
46A,0.958688,12,0.966202,M,Control,5,yak_375,yak,375,0.000626166666666668,A,-0.587773852346275,0.000733594195156694,0.000743674151688568,0.000636246623198542
46A,1.039588,14,1.054634,F,Rotenone,4,yak_375,yak,375,0.00107471428571429,A,-0.502967609559384,0.00120773986568987,0.00116980665562678,0.0010367810756512
46A,0.971228,19,0.982696,M,Control,1,yak_375,yak,375,0.000603578947368423,A,-0.68170948302193,0.000704426334064328,0.000743674151688568,0.000642826764992663
46A,1.019982,4,1.024694,F,Rotenone,2,yak_375,yak,375,0.00117800000000001,A,-0.00579456999515181,0.00109585833333333,0.00116980665562678,0.00125194832229346
46A,0.952594,14,0.963816,M,Control,2,yak_375,yak,375,0.000801571428571425,A,0.141682571096913,0.000819221475256768,0.000743674151688568,0.000726024105003225
46A,0.998562,15,1.009654,M,Rotenone,7,yak_375,yak,375,0.000739466666666673,A,-0.116592728877156,0.000720505357142854,0.000751470968198374,0.000770432277722193
46A,1.010468,14,1.025028,F,Control,4,yak_375,yak,375,0.00104000000000001,A,-0.670067261861018,0.00124465448717949,0.00118354565556564,0.00097889116838616
46A,1.005732,15,1.015528,M,Rotenone,7,yak_375,yak,375,0.000653066666666661,A,-0.475904724179325,0.000720505357142854,0.000751470968198374,0.000684032277722181
46A,1.000046,7,1.006704,F,Control,5,yak_375,yak,375,0.000951142857142865,A,-1.09778735952207,0.00112368818681318,0.00118354565556564,0.00101100032589532
46A,1.020596,20,1.038648,M,Rotenone,1,yak_375,yak,375,0.000902599999999998,A,0.561830459783524,0.00072456341305753,0.000751470968198374,0.000929507555140842
46A,1.006114,8,1.01139,M,Rotenone,6,yak_375,yak,375,0.000659500000000007,A,-0.449150397368582,0.000674710654160654,0.000751470968198374,0.000736260314037727
46A,1.002918,13,1.010862,M,Rotenone,5,yak_375,yak,375,0.000611076923076919,A,-0.650527624080419,0.000662522181522185,0.000751470968198374,0.000700025709753109
46A,1.00697,12,1.013654,M,Rotenone,5,yak_375,yak,375,0.000557000000000011,A,-0.875417521424899,0.000662522181522185,0.000751470968198374,0.000645948786676201
46A,1.005842,8,1.010906,M,Rotenone,6,yak_375,yak,375,0.000633000000000022,A,-0.559356044075767,0.000674710654160654,0.000751470968198374,0.000709760314037742
46B,1.025432,20,1.03917,M,Control,3,yak_375,yak,375,0.000686900000000001,B,-0.335201917376962,0.000798993217893219,0.000743674151688568,0.00063158093379535
46B,0.963492,18,0.977398,M,Control,1,yak_375,yak,375,0.000772555555555554,B,0.0210141540973117,0.000704426334064328,0.000743674151688568,0.000811803373179794
46B,1.030048,18,1.043132,M,Rotenone,3,yak_375,yak,375,0.000726888888888882,B,-0.168899979222118,0.000820384213025441,0.000751470968198374,0.000657975644061815
